Arrest Date,Time,Area Name,Age,Sex Code,Descent Code,Arrest Type Code,Charge Description,latitude,longitude,loja_0.5_milha,loja_1_milha,escola_0.5_milha,escola_1_milha
2019-08-03,1420.0,Northeast,27,M,H,M,poss marijuana or concentrated cannabis,34.1201,-118.1795,0,0,4,6
2019-08-08,1750.0,Southeast,22,F,H,M,possess marijuana for sale,33.933,-118.2783,0,1,2,12
2019-07-19,700.0,Pacific,30,F,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-07-19,630.0,Pacific,31,F,B,F,transport/sell/furnish/etc marijuana,33.9472,-118.3909,0,1,0,1
2019-08-15,800.0,Pacific,20,M,B,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-08-10,1524.0,Pacific,25,M,O,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-08-15,900.0,Pacific,28,M,B,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-08-15,610.0,Pacific,25,M,B,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-08-16,1021.0,77th Street,28,M,W,M,sale/offer to sell/transport marijuana,33.9708,-118.2783,0,2,2,13
2019-08-14,1000.0,77th Street,22,M,B,M,possess marijuana for sale,33.9746,-118.2962,0,0,2,9
2019-08-10,7.0,Pacific,24,M,B,F,transport/sell/furnish/etc marijuana,33.9428,-118.4054,0,0,0,0
2019-08-01,730.0,Pacific,25,F,H,F,transport/sell/furnish/etc marijuana,33.9451,-118.4029,0,1,0,0
2019-08-18,1840.0,Pacific,37,M,B,M,possess marijuana for sale,33.9903,-118.4761,2,6,1,3
2019-08-10,7.0,Pacific,24,M,B,F,transport/sell/furnish/etc marijuana,33.9428,-118.4054,0,0,0,0
2019-08-22,2354.0,Pacific,29,M,B,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2019-08-18,1840.0,Pacific,20,F,B,M,possess marijuana for sale,33.9903,-118.4761,2,6,1,3
