,name,is_closed,url,rating,price,review_count,latitude,longitude,location
66,LAX CC 21+,False,https://www.yelp.com/biz/lax-cc-21-los-angeles-2?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,3.5,,110,33.962012,-118.420838,"(33.962012, -118.420838)"
67,Luvbrite Delivery,False,https://www.yelp.com/biz/luvbrite-delivery-santa-monica?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,35,34.01158,-118.49227,"(34.01158, -118.49227)"
68,Lit Co,False,https://www.yelp.com/biz/lit-co-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,32,34.03941,-118.2677,"(34.03941, -118.2677)"
69,The Marijuana Factory,False,https://www.yelp.com/biz/the-marijuana-factory-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,64,34.2369061,-118.5962604,"(34.2369061, -118.5962604)"
70,Nugg Club,False,https://www.yelp.com/biz/nugg-club-santa-monica-3?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,243,34.0115966796875,-118.468780517578,"(34.0115966796875, -118.468780517578)"
71,Foothill Wellness Center,False,https://www.yelp.com/biz/foothill-wellness-center-tujunga?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,44,34.247965,-118.287193,"(34.247965, -118.287193)"
72,The Balloon Room,False,https://www.yelp.com/biz/the-balloon-room-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,38,34.045809,-118.260598,"(34.045809, -118.260598)"
73,LA Wonderland Marijuana Dispensary Recreational,False,https://www.yelp.com/biz/la-wonderland-marijuana-dispensary-recreational-los-angeles-3?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,3.0,$$,89,34.033994,-118.264534,"(34.033994, -118.264534)"
74,Erba Markets,False,https://www.yelp.com/biz/erba-markets-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,3.0,$$,189,34.0281261,-118.45235927,"(34.0281261, -118.45235927)"
75,Pineapple Express Delivers,False,https://www.yelp.com/biz/pineapple-express-delivers-santa-clarita-2?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,54,34.4400287,-118.5914696,"(34.4400287, -118.5914696)"
76,DELI by Caliva,False,https://www.yelp.com/biz/deli-by-caliva-bellflower?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,49,33.87509,-118.13056933,"(33.87509, -118.13056933)"
77,Sweet Flower Westwood,False,https://www.yelp.com/biz/sweet-flower-westwood-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,5.0,,15,34.05488,-118.441643,"(34.05488, -118.441643)"
78,Best Buds Delivery,False,https://www.yelp.com/biz/best-buds-delivery-los-angeles-12?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,33,33.9556606,-118.416723,"(33.9556606, -118.416723)"
79,Smartweed,False,https://www.yelp.com/biz/smartweed-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,40,34.08953,-118.30872,"(34.08953, -118.30872)"
